Price Date,Odisha_Brinjal_Balasore,Odisha_Brinjal_Bargarh,Odisha_Brinjal_Dhenkanal,Odisha_Brinjal_Ganjam,Odisha_Brinjal_Kalahandi,Odisha_Brinjal_Nayagarh,MadhyaPradesh_Soyabean_Ashoknagar,MadhyaPradesh_Soyabean_Chhindwara,MadhyaPradesh_Soyabean_Dewas,MadhyaPradesh_Soyabean_Guna,MadhyaPradesh_Soyabean_Harda,MadhyaPradesh_Soyabean_Indore,MadhyaPradesh_Soyabean_Khandwa,MadhyaPradesh_Soyabean_Khargone,MadhyaPradesh_Soyabean_Mandsaur,MadhyaPradesh_Soyabean_Raisen,MadhyaPradesh_Soyabean_Rajgarh,MadhyaPradesh_Soyabean_Sagar,MadhyaPradesh_Soyabean_Sehore,MadhyaPradesh_Soyabean_Shajapur,MadhyaPradesh_Soyabean_Shivpuri,MadhyaPradesh_Soyabean_Tikamgarh,MadhyaPradesh_Soyabean_Ujjain,MadhyaPradesh_Soyabean_Vidisha,Odisha_Rice_Balasore
01-02-2012,1101.388889,801.5804598,1081.034483,1263.563218,1950,1491.37931,2034.322464,2277.75641,2302.404861,2360.510345,2187.621212,2369.796667,2331.272727,2345.039683,2301.666667,2143.490123,2383.252976,2244.717816,2277.773214,2347.780467,2359.0625,2341.727273,2405.229333,2326.340972,1101.388889
01-03-2012,805.2631579,667.2043011,1359.677419,1029.946237,1798.4375,1282.258065,2071.458333,2515.565476,2577.627381,2613.342,2430.808333,2631.516026,2394.071429,2519.727273,2602.046667,2369.695062,2627.764744,2510.559524,2597.793333,2615.907483,2649.052632,2609.368421,2672.395238,2588.763333,805.2631579
01-04-2012,1165.625,936.5277778,1676.111111,1199.137931,1522.222222,714,2616.04902,3073.325,3010.03125,2890.928333,2936.916667,2827.525,3040.735294,2989.227273,3034.685185,2843.552632,2999.655797,2874.964286,3133.3125,3003.863053,3005.2,3001.217391,3069.92019,2950.900926,1165.625
01-05-2012,1330.952381,792.0698925,1248.924731,1286.6,1685.714286,1199.193548,2883.746914,3257.321429,3252.737179,3294.142778,3130.846154,3224.107143,3213.12,3073.190972,3229.33908,3025.425926,3295.155376,3162.290323,3220.941358,3324.060357,3294.413043,3217.578947,3298.72127,3264.166667,1330.952381
01-06-2012,2002.222222,1307.5,2491.111111,2148.666667,2329.166667,2063.333333,2934.75641,3281.482759,3353.978,3362.657471,3226.942308,3298.54321,3389.636364,3222.366071,3302.122222,2970.554762,3323.957222,3158.086111,3304.495679,3341.849918,3318.801282,3203.611111,3407.175123,3296.142308,2002.222222
01-07-2012,1647.5,1575.403226,2224.193548,1570.833333,2500,2423.387097,3780.019231,4202.925926,4011.61369,4153.677778,4137.031746,4099.913462,4174.956522,4044.4375,4013.641975,3975.089333,4185.022581,3954.631183,4239.785897,4218.068966,4034.120833,4085.833333,4238.652778,4131.267949,1647.5
01-08-2012,2313.72549,1772.983871,2494.666667,2218.518519,2350,2375.925926,4085.166667,4341.947368,4149.589103,4219.619048,4195.316667,4058.652174,3916.65625,3990.318182,4303.557971,3969.333333,4184.359259,4094.981481,4222.166667,4219.584615,3982.666667,4012.047619,4284.341026,4131.724242,2313.72549
01-09-2012,1988.888889,915.5555556,1937.222222,1723.125,2170.833333,1665.833333,3548.875,3692.866667,3758.181944,3827.6,3564.825758,3639.436667,2987.047619,3342.48,3893.426667,3387.373333,3720.370238,3793.352564,3686.296667,3395.948968,4097.5,4286.142857,3790.759249,3661.394231,1988.888889
01-10-2012,1711.111111,884.1397849,1717.777778,1825.2,1905,1258.064516,2759.633333,2887.623457,2883.217308,2975.859195,2901.952381,2949.523333,2921.972222,2818.248276,2953.280864,2888.768452,2925.836667,2922.532051,2985.902857,2978.327779,2961.85,3010.176471,2956.893915,2894.660256,1711.111111
01-11-2012,1875,867.9166667,2021.111111,1845.47619,1807.575758,1390.833333,3066.685714,3041.833333,3119.985507,3125.688889,3106.772727,3112.898551,3006.04,3098.421154,3125.984848,3080.13141,3132.38913,2877.979167,3133.485606,3137.208516,3085.82281,3094.315789,3160.874638,3003.793478,1875
